NEW,P.SYMBOL,P.DATE,CURRENCY,P.PRICE,P.VOL$,EST.S.DATE,EST.S.PRICE,EST.PROFITPCT,EST.PROFITPCT252D,T.DATE,T.PRICE,T.VOL$,R.DATE,STATUS,PROFITPCT,PROFITPCT252D,DATEPCT,PRICEPCT
+,ASX-A2M,2020-07-13,AUD,19.6,44949817.0,2021-07-13,37.09,89.23,62.0,2021-07-13,7.09,43051941.0,-,CLOSED,-63.83,-51.0,86.0,-72.0
+,ASX-MFG,2020-07-13,AUD,61.92,24963085.0,2021-07-13,80.09,29.34,20.0,2021-07-13,53.05,19635662.0,2021-08-10,CLOSED,-14.32,-11.0,86.0,-49.0
+,ASX-MFG,2020-07-13,AUD,61.92,24963085.0,2021-07-13,83.74,35.24,24.0,2021-07-13,53.05,19635662.0,2021-08-10,CLOSED,-14.32,-11.0,86.0,-41.0
+,ASX-NST,2020-07-13,AUD,14.85,40864927.0,2021-07-13,23.06,55.29,38.0,2021-07-13,10.23,43376397.0,2021-08-19,CLOSED,-31.11,-25.0,86.0,-56.0
+,ASX-MFG,2020-07-13,AUD,61.92,24963085.0,2021-07-13,82.23,32.8,23.0,2021-07-13,53.05,19635662.0,2021-08-10,CLOSED,-14.32,-11.0,86.0,-44.0
+,ASX-SYD,2020-10-08,AUD,6.0,37751544.0,2021-10-08,7.84,30.67,21.0,2021-07-13,7.84,81564028.0,2021-02-23,CLOSED,30.67,32.0,66.0,100.0
+,ASX-SYD,2020-10-20,AUD,6.01,33845766.0,2021-10-20,7.91,31.61,22.0,2021-07-13,7.91,81564028.0,2021-02-23,CLOSED,31.61,35.0,63.0,100.0
-,ASX-EVN,2020-06-10,AUD,5.29,89103586.0,2021-06-10,6.8,28.54,20.0,2021-06-10,4.94,29401773.0,-,CLOSED,-6.62,-5.0,86.0,-23.0
-,ASX-MFG,2020-06-10,AUD,59.98,43867371.0,2021-06-10,81.21,35.4,24.0,2021-06-10,49.86,15406142.0,-,CLOSED,-16.87,-13.0,86.0,-48.0
-,ASX-NAN,2020-06-10,AUD,6.92,6045148.0,2021-06-10,9.32,34.68,24.0,2021-06-10,5.49,3962666.0,-,CLOSED,-20.66,-17.0,86.0,-60.0
-,ASX-NAN,2020-06-10,AUD,6.92,6045148.0,2021-06-10,9.36,35.26,24.0,2021-06-10,5.49,3962666.0,-,CLOSED,-20.66,-17.0,86.0,-59.0
-,ASX-NST,2020-06-10,AUD,12.96,59702728.0,2021-06-10,19.32,49.07,34.0,2021-06-10,11.01,43921026.0,-,CLOSED,-15.05,-12.0,86.0,-31.0
-,ASX-RMD,2020-06-10,AUD,23.22,16404277.0,2021-06-10,28.96,24.72,17.0,2020-07-21,28.96,37027427.0,-,CLOSED,24.72,178.0,10.0,100.0
-,ASX-REA,2020-06-10,AUD,107.0,36446874.0,2021-06-10,151.27,41.37,29.0,2021-01-04,151.27,22354075.0,-,CLOSED,41.37,58.0,49.0,100.0
-,ASX-REA,2020-06-10,AUD,107.0,36446874.0,2021-06-10,149.45,39.67,27.0,2020-12-18,149.45,22354075.0,-,CLOSED,39.67,61.0,45.0,100.0
-,ASX-CTD,2020-06-10,AUD,14.5,13745938.0,2021-06-10,19.34,33.38,23.0,2020-11-10,19.34,12063501.0,-,CLOSED,33.38,64.0,36.0,100.0
-,ASX-SDF,2020-06-10,AUD,3.39,19987526.0,2021-06-10,3.91,15.34,11.0,2020-11-10,3.91,8999092.0,-,CLOSED,15.34,29.0,36.0,100.0
-,ASX-SDF,2020-06-10,AUD,3.39,19987526.0,2021-06-10,3.97,17.11,12.0,2020-11-26,3.97,8999092.0,-,CLOSED,17.11,30.0,40.0,100.0
-,ASX-NST,2020-06-10,AUD,12.96,59702728.0,2021-06-10,18.76,44.75,31.0,2021-06-10,11.01,43921026.0,-,CLOSED,-15.05,-12.0,86.0,-34.0
-,ASX-A2M,2020-06-10,AUD,17.99,66908478.0,2021-06-10,41.01,127.96,88.0,2021-06-10,5.51,31751474.0,-,CLOSED,-69.37,-55.0,86.0,-54.0
-,ASX-A2M,2020-06-10,AUD,17.99,66908478.0,2021-06-10,41.01,127.96,88.0,2021-06-10,5.51,31751474.0,-,CLOSED,-69.37,-55.0,86.0,-54.0
-,ASX-CTD,2020-06-10,AUD,14.5,13745938.0,2021-06-10,19.34,33.38,23.0,2020-11-10,19.34,12063501.0,-,CLOSED,33.38,64.0,36.0,100.0
-,ASX-EVN,2020-06-10,AUD,5.29,89103586.0,2021-06-10,6.8,28.54,20.0,2021-06-10,4.94,29401773.0,-,CLOSED,-6.62,-5.0,86.0,-23.0
-,ASX-MFG,2020-06-10,AUD,59.98,43867371.0,2021-06-10,81.21,35.4,24.0,2021-06-10,49.86,15406142.0,-,CLOSED,-16.87,-13.0,86.0,-48.0
-,ASX-NAN,2020-06-10,AUD,6.92,6045148.0,2021-06-10,9.32,34.68,24.0,2021-06-10,5.49,3962666.0,-,CLOSED,-20.66,-17.0,86.0,-60.0
-,ASX-NST,2020-06-10,AUD,12.96,59702728.0,2021-06-10,19.32,49.07,34.0,2021-06-10,11.01,43921026.0,-,CLOSED,-15.05,-12.0,86.0,-31.0
-,ASX-NST,2020-06-10,AUD,12.96,59702728.0,2021-06-10,18.76,44.75,31.0,2021-06-10,11.01,43921026.0,-,CLOSED,-15.05,-12.0,86.0,-34.0
-,ASX-REA,2020-06-10,AUD,107.0,36446874.0,2021-06-10,151.27,41.37,29.0,2021-01-04,151.27,22354075.0,-,CLOSED,41.37,58.0,49.0,100.0
-,ASX-REA,2020-06-10,AUD,107.0,36446874.0,2021-06-10,149.45,39.67,27.0,2020-12-18,149.45,22354075.0,-,CLOSED,39.67,61.0,45.0,100.0
-,ASX-RMD,2020-06-10,AUD,23.22,16404277.0,2021-06-10,28.96,24.72,17.0,2020-07-21,28.96,37027427.0,-,CLOSED,24.72,178.0,10.0,100.0
-,ASX-SDF,2020-06-10,AUD,3.39,19987526.0,2021-06-10,3.91,15.34,11.0,2020-11-10,3.91,8999092.0,-,CLOSED,15.34,29.0,36.0,100.0
-,ASX-NAN,2020-06-10,AUD,6.92,6045148.0,2021-06-10,9.36,35.26,24.0,2021-06-10,5.49,3962666.0,-,CLOSED,-20.66,-17.0,86.0,-59.0
-,ASX-SDF,2020-06-10,AUD,3.39,19987526.0,2021-06-10,3.97,17.11,12.0,2020-11-26,3.97,8999092.0,-,CLOSED,17.11,30.0,40.0,100.0
-,ASX-NST,2020-06-11,AUD,13.89,101896117.0,2021-06-11,19.18,38.08,26.0,2021-06-11,11.5,57140004.0,-,CLOSED,-17.21,-14.0,86.0,-45.0
-,ASX-A2M,2020-06-11,AUD,17.79,49202942.0,2021-06-11,33.22,86.73,60.0,2021-06-11,5.72,33190672.0,-,CLOSED,-67.85,-54.0,86.0,-78.0
-,ASX-ALU,2020-06-11,AUD,34.18,19137362.0,2021-06-11,44.64,30.6,21.0,2021-06-11,35.0,24199840.0,-,CLOSED,2.4,2.0,86.0,8.0
-,ASX-ALU,2020-06-11,AUD,34.18,19137362.0,2021-06-11,45.25,32.39,22.0,2021-06-11,35.0,24199840.0,-,CLOSED,2.4,2.0,86.0,7.0
-,ASX-ALU,2020-06-11,AUD,34.18,19137362.0,2021-06-11,45.74,33.82,23.0,2021-06-11,35.0,24199840.0,-,CLOSED,2.4,2.0,86.0,7.0
-,ASX-CCP,2020-06-11,AUD,18.27,26762789.0,2021-06-11,24.82,35.85,25.0,2020-11-20,24.82,4158623.0,-,CLOSED,35.85,65.0,38.0,100.0
-,ASX-CCP,2020-06-11,AUD,18.27,26762789.0,2021-06-11,24.69,35.14,24.0,2020-11-20,24.69,4158623.0,-,CLOSED,35.14,64.0,38.0,100.0
-,ASX-EVN,2020-06-11,AUD,5.52,128132347.0,2021-06-11,6.62,19.93,14.0,2021-06-11,5.08,28333177.0,-,CLOSED,-7.97,-6.0,86.0,-40.0
-,ASX-MFG,2020-06-11,AUD,58.66,34757450.0,2021-06-11,76.31,30.09,21.0,2021-06-11,50.12,19121933.0,-,CLOSED,-14.56,-12.0,86.0,-48.0
-,ASX-NST,2020-06-11,AUD,13.89,101896117.0,2021-06-11,22.02,58.53,40.0,2021-06-11,11.5,57140004.0,-,CLOSED,-17.21,-14.0,86.0,-29.0
-,ASX-NST,2020-06-11,AUD,13.89,101896117.0,2021-06-11,20.5,47.59,33.0,2021-06-11,11.5,57140004.0,-,CLOSED,-17.21,-14.0,86.0,-36.0
-,ASX-CCP,2020-06-11,AUD,18.27,26762789.0,2021-06-11,21.99,20.36,14.0,2020-11-10,21.99,4158623.0,-,CLOSED,20.36,39.0,36.0,100.0
-,ASX-NXT,2020-06-11,AUD,9.13,24289717.0,2021-06-11,11.41,24.97,17.0,2020-07-07,11.41,21726774.0,-,CLOSED,24.97,286.0,6.0,100.0
-,ASX-CCP,2020-06-12,AUD,16.75,35242777.0,2021-06-12,24.01,43.34,30.0,2020-11-18,24.01,4158623.0,-,CLOSED,43.34,80.0,38.0,100.0
-,ASX-MFG,2020-06-12,AUD,55.72,60870175.0,2021-06-12,75.44,35.39,24.0,2021-06-11,50.12,19121933.0,-,CLOSED,-10.05,-8.0,86.0,-28.0
-,ASX-NST,2020-06-12,AUD,13.7,74022799.0,2021-06-12,21.7,58.39,40.0,2021-06-11,11.5,57140004.0,-,CLOSED,-16.06,-13.0,86.0,-27.0
-,ASX-NST,2020-06-12,AUD,13.7,74022799.0,2021-06-12,22.88,67.01,46.0,2021-06-11,11.5,57140004.0,-,CLOSED,-16.06,-13.0,86.0,-24.0
-,ASX-NST,2020-06-12,AUD,13.7,74022799.0,2021-06-12,21.75,58.76,41.0,2021-06-11,11.5,57140004.0,-,CLOSED,-16.06,-13.0,86.0,-27.0
-,ASX-NST,2020-06-12,AUD,13.7,74022799.0,2021-06-12,21.38,56.06,39.0,2021-06-11,11.5,57140004.0,-,CLOSED,-16.06,-13.0,86.0,-29.0
-,ASX-A2M,2020-06-15,AUD,17.19,69952573.0,2021-06-15,41.75,142.87,99.0,2021-06-15,6.03,66393508.0,-,CLOSED,-64.92,-52.0,86.0,-45.0
-,ASX-CCP,2020-06-15,AUD,15.74,24828283.0,2021-06-15,21.27,35.13,24.0,2020-11-10,21.27,4319093.0,-,CLOSED,35.13,70.0,35.0,100.0
-,ASX-CTD,2020-06-15,AUD,11.4,15379494.0,2021-06-15,15.19,33.25,23.0,2020-08-27,15.19,8304804.0,-,CLOSED,33.25,133.0,17.0,100.0
-,ASX-CTD,2020-06-15,AUD,11.4,15379494.0,2021-06-15,14.62,28.25,20.0,2020-08-25,14.62,8304804.0,-,CLOSED,28.25,117.0,17.0,100.0
-,ASX-CTD,2020-06-15,AUD,11.4,15379494.0,2021-06-15,15.28,34.04,24.0,2020-08-27,15.28,8304804.0,-,CLOSED,34.04,136.0,17.0,100.0
-,ASX-RMD,2020-06-15,AUD,23.03,28777789.0,2021-06-15,27.7,20.28,14.0,2020-07-03,27.7,68657788.0,-,CLOSED,20.28,341.0,4.0,100.0
-,ASX-CTD,2020-06-15,AUD,11.4,15379494.0,2021-06-15,15.2,33.33,23.0,2020-08-27,15.2,8304804.0,-,CLOSED,33.33,133.0,17.0,100.0
-,ASX-SDF,2020-06-15,AUD,3.14,10474604.0,2021-06-15,3.7,17.83,12.0,2020-11-06,3.7,5145490.0,-,CLOSED,17.83,36.0,34.0,100.0
-,ASX-REA,2020-06-16,AUD,105.66,26412365.0,2021-06-16,136.52,29.21,20.0,2020-11-09,136.52,23287739.0,-,CLOSED,29.21,58.0,35.0,100.0
-,ASX-NXT,2020-06-16,AUD,9.5,32197647.0,2021-06-16,11.86,24.84,17.0,2020-08-04,11.86,16803932.0,-,CLOSED,24.84,149.0,12.0,100.0
-,ASX-NAN,2020-06-16,AUD,6.86,7198321.0,2021-06-16,9.43,37.46,26.0,2021-06-16,5.79,4040140.0,-,CLOSED,-15.6,-12.0,86.0,-42.0
-,ASX-CTD,2020-06-16,AUD,12.42,8879235.0,2021-06-16,16.81,35.35,24.0,2020-09-17,16.81,10417916.0,-,CLOSED,35.35,111.0,22.0,100.0
-,ASX-CTD,2020-06-16,AUD,12.42,8879235.0,2021-06-16,16.06,29.31,20.0,2020-09-08,16.06,10417916.0,-,CLOSED,29.31,103.0,20.0,100.0
-,ASX-SUL,2020-06-16,AUD,8.58,54547587.0,2021-06-16,10.3,20.05,14.0,2020-08-21,10.3,6581836.0,-,CLOSED,20.05,89.0,16.0,100.0
-,ASX-IVC,2020-06-17,AUD,11.31,15004007.0,2021-06-17,13.43,18.74,13.0,2021-06-17,11.54,4327892.0,-,CLOSED,2.03,2.0,86.0,11.0
