NEW,P.SYMBOL,P.DATE,CURRENCY,P.PRICE,P.VOL$,EST.S.DATE,EST.S.PRICE,EST.PROFITPCT,EST.PROFITPCT252D,T.DATE,T.PRICE,T.VOL$,R.DATE,STATUS,PROFITPCT,PROFITPCT252D,DATEPCT,PRICEPCT
+,9988.HK,2020-07-13,HKD,254.4,7881227794.0,2021-07-13,338.67,33.13,23.0,2021-07-13,205.2,6192769788.0,-,CLOSED,-19.34,-15.0,86.0,-58.0
+,9988.HK,2020-07-13,HKD,254.4,7881227794.0,2021-07-13,337.99,32.86,23.0,2021-07-13,205.2,6192769788.0,-,CLOSED,-19.34,-15.0,86.0,-59.0
+,9988.HK,2020-07-13,HKD,254.4,7881227794.0,2021-07-13,339.2,33.33,23.0,2021-07-13,205.2,6192769788.0,-,CLOSED,-19.34,-15.0,86.0,-58.0
+,9988.HK,2020-07-13,HKD,254.4,7881227794.0,2021-07-13,325.31,27.87,19.0,2021-07-13,205.2,6192769788.0,-,CLOSED,-19.34,-15.0,86.0,-69.0
+,9988.HK,2020-07-13,HKD,254.4,7881227794.0,2021-07-13,339.2,33.33,23.0,2021-07-13,205.2,6192769788.0,-,CLOSED,-19.34,-15.0,86.0,-58.0
+,9988.HK,2020-07-13,HKD,254.4,7881227794.0,2021-07-13,335.81,32.0,22.0,2021-07-13,205.2,6192769788.0,-,CLOSED,-19.34,-15.0,86.0,-60.0
+,0700.HK,2020-07-13,HKD,541.0,10839441376.0,2021-07-13,841.76,55.59,38.0,2021-07-13,555.5,18401460781.0,-,CLOSED,2.68,2.0,86.0,5.0
+,0700.HK,2020-07-13,HKD,541.0,10839441376.0,2021-07-13,837.76,54.85,38.0,2021-07-13,555.5,18401460781.0,-,CLOSED,2.68,2.0,86.0,5.0
+,0700.HK,2020-07-13,HKD,541.0,10839441376.0,2021-07-13,839.75,55.22,38.0,2021-07-13,555.5,18401460781.0,-,CLOSED,2.68,2.0,86.0,5.0
+,0700.HK,2020-07-13,HKD,541.0,10839441376.0,2021-07-13,841.64,55.57,38.0,2021-07-13,555.5,18401460781.0,-,CLOSED,2.68,2.0,86.0,5.0
-,2588.HK,2020-06-11,HKD,50.2,141546330.0,2021-06-11,58.26,16.06,11.0,2020-08-28,58.26,13679602.0,-,CLOSED,16.06,60.0,18.0,100.0
-,0700.HK,2020-06-11,HKD,442.4,11912477814.0,2021-06-11,648.19,46.52,32.0,2021-01-18,648.19,17108824832.0,-,CLOSED,46.52,62.0,52.0,100.0
-,1299.HK,2020-06-11,HKD,71.35,2408660270.0,2021-06-11,83.39,16.87,12.0,2020-11-10,83.39,1790650140.0,-,CLOSED,16.87,32.0,36.0,100.0
-,1299.HK,2020-06-11,HKD,71.35,2408660270.0,2021-06-11,84.2,18.01,12.0,2020-11-10,84.2,1790650140.0,-,CLOSED,18.01,35.0,36.0,100.0
-,2382.HK,2020-06-11,HKD,111.5,695496860.0,2021-06-11,169.32,51.86,36.0,2020-12-30,169.32,805119315.0,-,CLOSED,51.86,75.0,48.0,100.0
-,1251.HK,2020-06-12,HKD,0.32,923340.0,2021-06-12,0.43,34.37,24.0,2021-02-17,0.43,5324260.0,-,CLOSED,34.37,40.0,59.0,100.0
-,2588.HK,2020-06-12,HKD,50.3,116699200.0,2021-06-12,61.11,21.49,15.0,2020-09-07,61.11,13679602.0,-,CLOSED,21.49,72.0,21.0,100.0
-,0700.HK,2020-06-12,HKD,441.6,7700101668.0,2021-06-12,532.86,20.67,14.0,2020-07-08,532.86,8640030220.0,-,CLOSED,20.67,237.0,6.0,100.0
-,0435.HK,2020-06-12,HKD,3.92,6236910.0,2021-06-12,4.66,18.88,13.0,2021-06-11,4.6,3215400.0,-,CLOSED,17.35,14.0,86.0,92.0
-,0175.HK,2020-06-12,HKD,11.96,675251324.0,2021-06-12,19.23,60.79,42.0,2020-07-13,19.23,1393438306.0,-,CLOSED,60.79,589.0,7.0,100.0
-,0345.HK,2020-06-12,HKD,29.1,75189548.0,2021-06-12,35.01,20.31,14.0,2021-01-28,35.01,99583190.0,-,CLOSED,20.31,26.0,54.0,100.0
-,0345.HK,2020-06-12,HKD,29.1,75189548.0,2021-06-12,34.82,19.66,14.0,2021-01-28,34.82,99583190.0,-,CLOSED,19.66,25.0,54.0,100.0
-,0345.HK,2020-06-12,HKD,29.1,75189548.0,2021-06-12,34.66,19.11,13.0,2021-01-28,34.66,99583190.0,-,CLOSED,19.11,24.0,54.0,100.0
-,0345.HK,2020-06-12,HKD,29.1,75189548.0,2021-06-12,34.82,19.66,14.0,2021-01-28,34.82,99583190.0,-,CLOSED,19.66,25.0,54.0,100.0
