NEW,P.SYMBOL,P.DATE,CURRENCY,P.PRICE,P.VOL$,EST.S.DATE,EST.S.PRICE,EST.PROFITPCT,EST.PROFITPCT252D,T.DATE,T.PRICE,T.VOL$,R.DATE,STATUS,PROFITPCT,PROFITPCT252D,DATEPCT,PRICEPCT
+,CCI,2020-08-13,USD,164.36,208622113.0,2021-08-13,202.87,23.43,16.0,2021-07-12,202.87,5889.0,2021-04-27,CLOSED,23.43,21.0,79.0,100.0
+,ZS,2020-08-20,USD,136.42,427485712.0,2021-08-20,233.97,71.51,49.0,2021-07-12,233.97,11398.0,2021-02-25,CLOSED,71.51,64.0,77.0,100.0
+,ZS,2020-09-11,USD,128.5,308528500.0,2021-09-11,233.24,81.51,56.0,2021-07-12,233.24,11398.0,2021-02-25,CLOSED,81.51,78.0,72.0,100.0
+,ZS,2020-09-17,USD,127.21,345820385.0,2021-09-17,235.83,85.39,59.0,2021-07-12,235.83,11398.0,2021-02-25,CLOSED,85.39,84.0,70.0,100.0
+,ZS,2020-09-22,USD,137.99,321254519.0,2021-09-22,233.2,69.0,48.0,2021-07-12,233.2,11398.0,2021-02-25,CLOSED,69.0,69.0,69.0,100.0
+,ZS,2020-11-09,USD,128.77,506877351.0,2021-11-09,233.0,80.94,56.0,2021-07-12,233.0,11398.0,2021-02-25,CLOSED,80.94,97.0,58.0,100.0
+,ZS,2020-11-09,USD,128.77,506877351.0,2021-11-09,233.6,81.41,56.0,2021-07-12,233.6,11398.0,2021-02-25,CLOSED,81.41,97.0,58.0,100.0
+,ZS,2020-11-13,USD,131.92,305328840.0,2021-11-13,233.58,77.06,53.0,2021-07-12,233.58,11398.0,2021-02-25,CLOSED,77.06,93.0,57.0,100.0
+,ZS,2020-11-23,USD,143.04,216133440.0,2021-11-23,232.97,62.87,43.0,2021-07-12,232.97,11398.0,2021-02-25,CLOSED,62.87,80.0,55.0,100.0
+,CCI,2020-11-25,USD,164.96,311290316.0,2021-11-25,202.59,22.81,16.0,2021-07-12,202.59,5889.0,2021-04-27,CLOSED,22.81,29.0,54.0,100.0
+,IPOB,2020-12-18,USD,29.5,155813542.0,2021-12-18,69.5357,135.71,94.0,2020-12-18,29.5,155813542.0,-,OPEN,0.0,0.0,0.0,0.0
+,IPOB,2020-12-18,USD,29.5,155813542.0,2021-12-18,70.092,137.6,95.0,2020-12-18,29.5,155813542.0,-,OPEN,0.0,0.0,0.0,0.0
+,CCI,2021-02-02,USD,165.61,262346124.0,2022-02-02,203.3012,22.76,16.0,2021-07-12,203.3012,5889.0,2021-04-27,CLOSED,22.76,42.0,38.0,100.0
+,GOOG,2021-02-12,USD,2104.11,1800486927.0,2022-02-12,2614.9964,24.28,17.0,2021-07-12,2614.9964,402137.0,-,CLOSED,24.28,47.0,35.0,100.0
+,GOOG,2021-02-12,USD,2104.11,1800486927.0,2022-02-12,2614.9964,24.28,17.0,2021-07-12,2614.9964,402137.0,-,CLOSED,24.28,47.0,35.0,100.0
+,GOOG,2021-02-12,USD,2104.11,1800486927.0,2022-02-12,2614.9964,24.28,17.0,2021-07-12,2614.9964,402137.0,-,CLOSED,24.28,47.0,35.0,100.0
+,NKE,2021-04-30,USD,132.62,746930460.0,2022-04-30,162.2192,22.32,15.0,2021-07-12,162.2192,395003.0,2021-03-22,CLOSED,22.32,89.0,17.0,100.0
-,FB,2020-06-09,USD,238.67,6554570343.0,2021-06-09,322.94,35.31,24.0,2021-04-29,322.94,4533638975.0,-,CLOSED,35.31,32.0,76.0,100.0
-,DHR,2020-06-09,USD,169.45,401330379.0,2021-06-09,196.98,16.25,11.0,2020-07-23,196.98,458171550.0,-,CLOSED,16.25,108.0,10.0,100.0
-,DHR,2020-06-09,USD,169.45,401330379.0,2021-06-09,203.56,20.13,14.0,2020-08-03,203.56,458171550.0,-,CLOSED,20.13,108.0,13.0,100.0
-,DHR,2020-06-09,USD,169.45,401330379.0,2021-06-09,199.74,17.88,12.0,2020-07-23,199.74,458171550.0,-,CLOSED,17.88,119.0,10.0,100.0
-,DHR,2020-06-09,USD,169.45,401330379.0,2021-06-09,200.48,18.31,13.0,2020-07-23,200.48,458171550.0,-,CLOSED,18.31,121.0,10.0,100.0
-,DHR,2020-06-09,USD,169.45,401330379.0,2021-06-09,201.37,18.84,13.0,2020-07-23,201.37,458171550.0,-,CLOSED,18.84,125.0,10.0,100.0
-,FB,2020-06-10,USD,236.73,4905211311.0,2021-06-10,318.05,34.35,24.0,2021-04-29,318.05,4401836892.0,-,CLOSED,34.35,31.0,76.0,100.0
-,FB,2020-06-10,USD,236.73,4905211311.0,2021-06-10,320.35,35.32,24.0,2021-04-29,320.35,4401836892.0,-,CLOSED,35.32,32.0,76.0,100.0
-,V,2020-06-11,USD,188.88,2248231150.0,2021-06-11,232.02,22.84,16.0,2021-04-26,232.02,1263685368.0,-,CLOSED,22.84,21.0,75.0,100.0
-,UNH,2020-06-11,USD,283.73,1847805037.0,2021-06-11,341.16,20.24,14.0,2020-11-04,341.16,1226704292.0,-,CLOSED,20.24,40.0,35.0,100.0
-,MA,2020-06-11,USD,291.25,1883089191.0,2021-06-11,392.76,34.85,24.0,2021-04-28,392.76,1606525254.0,-,CLOSED,34.85,32.0,76.0,100.0
-,MA,2020-06-11,USD,291.25,1883089191.0,2021-06-11,394.28,35.38,24.0,2021-04-28,394.28,1606525254.0,-,CLOSED,35.38,32.0,76.0,100.0
-,MA,2020-06-11,USD,291.25,1883089191.0,2021-06-11,395.38,35.75,25.0,2021-04-28,395.38,1606525254.0,-,CLOSED,35.75,33.0,76.0,100.0
-,DHR,2020-06-11,USD,164.9,541202688.0,2021-06-11,195.96,18.84,13.0,2020-07-22,195.96,733603443.0,-,CLOSED,18.84,136.0,10.0,100.0
-,AMT,2020-06-11,USD,251.51,625525549.0,2021-06-11,302.46,20.26,14.0,2021-06-11,267.07,356752106.0,-,CLOSED,6.19,5.0,86.0,31.0
-,O,2020-06-11,USD,57.88,224742958.0,2021-06-11,69.46,20.01,14.0,2021-04-29,69.46,229757598.0,-,CLOSED,20.01,18.0,76.0,100.0
