SYMBOL,CURRENCY,COMPANY NAME,GICS INDUSTRY GROUP,STOCK TYPE,PE,ASX200 WEIGHT,SHORTSELL%,VOLUME-ABOVE-AVG,VALUE($),LASTCLOSE,CHANGEPCT%,REPORTDATE,RECORDDATE
DE,USD,DEERE & CO,,,,,,,,,,2021-02-19,2021-07-13
ASX-CWY,AUD,CLEANAWAY WASTE MANAGEMENT LTD,Commercial & Professional Services,ASX200,0.0,0.24,0.08%,905.84%,"17,809,629",,-1.53%,2021-02-19,2021-07-13
ASX-COH,AUD,COCHLEAR LTD,Health Care Equipment & Services,ASX200,0.0,0.74,0.02%,0.00%,"50,512,452",,-1.29%,2021-02-19,2021-07-13
ASX-EOL,AUD,ENERGY ONE LTD,Software & Services,NORMAL,0.0,0.0,0.00%,0.28%,"56,587",,1.73%,2021-02-19,2021-07-13
ASX-GMG,AUD,GOODMAN GROUP,Real Estate,ASX200,0.0,1.63,0.10%,1345.68%,"108,418,297",,0.14%,2021-02-19,2021-07-13
ASX-PTM,AUD,PLATINUM ASSET MANAGEMENT LTD,Diversified Financials,ASX200,0.0,0.13,0.02%,0.00%,"3,740,318",,-1.73%,2021-02-19,2021-07-13
ASX-QBE,AUD,QBE INSURANCE GROUP LTD,Insurance,ASX200,0.0,0.74,0.01%,52.90%,"58,911,132",,-1.69%,2021-02-19,2021-07-13
ASX-SGP,AUD,STOCKLAND CORPORATION LTD,Real Estate,ASX200,0.0,0.49,0.03%,532.10%,"25,646,473",,-1.74%,2021-02-19,2021-07-13
ASX-AD8,AUD,AUDINATE GROUP LTD,Technology Hardware & Equipment,NORMAL,0.0,0.0,0.00%,12.80%,"5,566,304",,6.73%,2021-02-21,2021-07-13
ASX-BSE,AUD,BASE RESOURCES LTD,Materials,PENNY STOCK,9.7,0.0,0.00%,51.04%,"64,310",0.2901,3.51%,2021-02-21,2021-07-13
ASX-BIN,AUD,BINGO INDUSTRIES LTD,Commercial & Professional Services,ASX200,0.0,0.1,0.01%,40.48%,"5,644,573",,-0.29%,2021-02-21,2021-07-13
ASX-FLT,AUD,FLIGHT CENTRE TRAVEL GROUP LTD,Consumer Services,ASX200,0.0,0.16,0.11%,9569.29%,"51,947,784",,-3.89%,2021-02-21,2021-07-13
ASX-GDI,AUD,GDI PROPERTY GROUP LTD,Real Estate,NORMAL,0.0,0.0,0.02%,97.68%,"1,763,344",,0.92%,2021-02-21,2021-07-13
ASX-IDX,AUD,INTEGRAL DIAGNOSTICS LTD,Health Care Equipment & Services,NORMAL,0.0,0.0,0.01%,229.33%,"1,831,071",,-0.57%,2021-02-21,2021-07-13
ASX-NHF,AUD,NIB HOLDINGS LTD,Insurance,ASX200,0.0,0.12,0.02%,0.00%,"2,493,753",,-1.99%,2021-02-21,2021-07-13
ASX-OML,AUD,OOH!MEDIA LTD,Media & Entertainment,ASX200,0.0,0.04,0.01%,871.52%,"2,007,931",,-2.67%,2021-02-21,2021-07-13
ASX-PWH,AUD,PWR HOLDINGS LTD,Automobiles & Components,NORMAL,0.0,0.0,0.00%,0.00%,"322,364",,0.00%,2021-02-21,2021-07-13
ASX-TYR,AUD,TYRO PAYMENTS LTD,Software & Services,NORMAL,0.0,0.0,0.01%,0.00%,"4,197,900",,-1.35%,2021-02-21,2021-07-13
